ds,the_magic_carpets_of_aladdin,a_pirates_adventure_treasures_of_the_seven_seas,astro_orbiter,dumbo_the_flying_elephant,date
9/23/2019 15:20,19.81602982,-0.029918856,30.49740831,30.66051732,9/23/2019
9/23/2019 16:20,20.37865126,-0.031140427,30.51099135,30.03804062,9/23/2019
9/23/2019 17:20,21.87696924,-0.03836889,31.0643434,29.29262767,9/23/2019
9/23/2019 18:20,21.88631483,-0.047867939,30.83299747,26.97478717,9/23/2019
9/23/2019 19:20,19.09736424,-0.055030654,29.14004125,22.62936705,9/23/2019
9/23/2019 20:20,14.17147739,-0.057672679,25.98360122,17.14264165,9/23/2019
9/23/2019 21:20,8.839792409,-0.057047887,21.57631331,11.84130093,9/23/2019
9/24/2019 8:20,-1.692003653,-0.055721012,8.186362565,1.231223267,9/24/2019
9/24/2019 9:20,5.231870032,-0.055095948,17.40656208,8.711810351,9/24/2019
9/24/2019 10:20,14.33094293,-0.05572969,27.16522603,18.56453341,9/24/2019
9/24/2019 11:20,21.94084328,-0.056047498,33.89400038,27.30736162,9/24/2019
9/24/2019 12:20,25.13257626,-0.053370507,35.88068635,32.13385762,9/24/2019
9/24/2019 13:20,23.82437644,-0.046498875,34.15968115,32.70848314,9/24/2019
9/24/2019 14:20,20.64944885,-0.037539886,31.38066761,30.97023208,9/24/2019
9/24/2019 15:20,18.70526718,-0.030999795,29.74704298,29.24171304,9/24/2019
9/24/2019 16:20,19.13035559,-0.030571661,29.7118015,28.3623028,9/24/2019
9/24/2019 17:20,20.5126395,-0.036260143,30.23507637,27.3873115,9/24/2019
9/24/2019 18:20,20.42905553,-0.044343376,29.9932289,24.87057481,9/24/2019
9/24/2019 19:20,17.57156628,-0.050227089,28.30987795,20.35980779,9/24/2019
9/24/2019 20:20,12.60248219,-0.051737646,25.18337594,14.74365441,9/24/2019
9/24/2019 21:20,7.253543649,-0.050137615,20.82627566,9.350645951,9/24/2019
9/25/2019 8:20,-1.932601047,-0.048751142,9.012630659,0.188597806,9/25/2019
9/25/2019 9:20,5.208588591,-0.048939852,18.41929931,7.972180445,9/25/2019
9/25/2019 10:20,14.52964653,-0.05047301,28.36087556,18.14095583,9/25/2019
9/25/2019 11:20,22.36309542,-0.051759861,35.26630018,27.20820442,9/25/2019
9/25/2019 12:20,25.77679709,-0.050104912,37.42071247,32.36265562,9/25/2019
9/25/2019 13:20,24.68584635,-0.044291313,35.85592769,33.26385952,9/25/2019
9/25/2019 14:20,21.72035331,-0.036409186,33.21916242,31.84588743,9/25/2019
9/25/2019 15:20,19.97478249,-0.030947701,31.71149781,30.42648199,9/25/2019
9/25/2019 16:20,20.5847744,-0.031583146,31.78379486,29.84027782,9/25/2019
9/25/2019 17:20,22.13553466,-0.038303935,32.39426685,29.13803232,9/25/2019
9/25/2019 18:20,22.20148016,-0.047372708,32.2175964,26.86928124,9/25/2019
9/25/2019 19:20,19.47228767,-0.054180636,30.5759898,22.57775276,9/25/2019
9/25/2019 20:20,14.60824653,-0.056540668,27.46667467,17.14847335,9/25/2019
9/25/2019 21:20,9.339368273,-0.055703257,23.10138467,11.90677772,9/25/2019
9/26/2019 8:20,-0.766560265,-0.055160419,9.616139164,1.67541906,9/26/2019
9/26/2019 9:20,6.146042419,-0.054739366,18.76422805,9.130545108,9/26/2019
9/26/2019 10:20,15.22254782,-0.055574966,28.43974598,18.94376751,9/26/2019
9/26/2019 11:20,22.79834168,-0.056087937,35.0746942,27.63273354,9/26/2019
9/26/2019 12:20,25.94433839,-0.053595367,36.95737018,32.39090518,9/26/2019
9/26/2019 13:20,24.57883718,-0.046893913,35.12280671,32.88287283,9/26/2019
9/26/2019 14:20,21.33526478,-0.038087933,32.22145784,31.04799337,9/26/2019
9/26/2019 15:20,19.31147332,-0.031681353,30.45762234,29.20947432,9/26/2019
9/26/2019 16:20,19.64651967,-0.031365526,30.28531899,28.20752577,9/26/2019
