Time,Stitch's Great Escape!,"Monsters, Inc. Laugh Floor",Walt Disney World Railroad - Frontierland,Walt Disney's Enchanted Tiki Room,Sorcerers of the Magic Kingdom,The Barnstormer,Walt Disney World Railroad - Fantasyland,Casey Jr. Splash 'N' Soak Station,Cinderella Castle,Under the Sea - Journey of The Little Mermaid,Enchanted Tales with Belle,Seven Dwarfs Mine Train ,A Pirate's Adventure - Treasures of the Seven Seas,Allergy-Friendly Experience – Mickey's Not-So-Scary Halloween Party,Treat Locations for Mickey's Not-So-Scary Halloween Party,Pirate and Princess Adventures at Walt Disney World,Holiday Treats Locations - Mickey's Very Merry Christmas Party,Pirates at Walt Disney World Resort,Pirates at Walt Disney World,Horses - Disney Animals,Astro Orbiter,Big Thunder Mountain Railroad,Buzz Lightyear's Space Ranger Spin,Prince Charming Regal Carrousel,Dumbo the Flying Elephant,Frontierland Shootin' Arcade,"""it's a small world""",Jungle Cruise,Liberty Square Riverboat,Mad Tea Party,Main Street Vehicles,Mickey's PhilharMagic,Peter Pan's Flight,Pirates of the Caribbean,Space Mountain,Splash Mountain,Swiss Family Treehouse,Haunted Mansion,The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,Tom Sawyer Island,Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,"Walt Disney World Railroad - Main Street, U.S.A",Walt Disney's Carousel of Progress,Country Bear Jamboree,The Hall of Presidents
2017-05-16 23:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 23:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 23:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 23:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 23:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 00:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 00:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 00:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 01:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 01:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 01:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 01:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 02:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 02:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 02:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 02:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 03:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 03:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 03:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 04:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 04:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 04:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 05:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 05:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 05:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 05:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 06:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 06:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 06:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 07:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 07:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 07:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 07:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 08:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 08:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 08:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-17 09:10:00,0,0,0,0,0,5,0,0,0,5,15,60,0,0,0,0,0,0,0,0,0,5,5,0,10,0,10,5,0,5,0,5,45,5,15,5,0,15,10,5,0,10,0,0,0,0,0
2017-05-17 09:20:00,0,0,0,0,0,5,0,0,0,5,20,60,0,0,0,0,0,0,0,0,0,5,10,0,10,0,10,25,0,5,0,5,40,10,15,20,0,15,15,30,0,30,0,0,0,0,0
2017-05-17 09:40:00,0,0,0,0,0,5,0,0,0,5,20,60,0,0,0,0,0,0,0,0,5,15,10,0,10,0,10,25,0,5,0,5,40,10,20,10,0,15,10,20,0,30,0,0,0,0,0
2017-05-17 09:50:00,0,0,0,0,0,5,0,0,0,5,20,60,0,0,0,0,0,0,0,0,5,15,15,0,15,0,10,45,0,5,0,5,50,15,40,15,0,10,0,25,0,30,0,0,0,0,0
2017-05-17 10:00:00,0,5,0,0,0,5,0,0,0,10,30,60,0,0,0,0,0,0,0,0,20,20,20,0,10,0,10,40,0,5,0,5,70,20,50,30,0,15,0,40,0,30,0,0,0,0,0
2017-05-17 10:20:00,0,10,0,0,0,5,0,0,0,10,20,60,0,0,0,0,0,0,0,0,20,15,25,0,10,0,10,30,0,5,0,5,60,25,50,35,0,15,0,35,0,30,0,0,0,0,0
2017-05-17 10:30:00,0,10,0,0,0,10,0,0,0,10,20,70,0,0,0,0,0,0,0,0,20,50,45,0,10,0,10,55,0,5,0,5,55,35,70,40,0,20,0,35,0,30,0,0,0,0,0
2017-05-17 10:40:00,0,10,0,0,0,10,0,0,0,10,20,70,0,0,0,0,0,0,0,0,20,35,45,0,10,0,10,45,0,5,0,5,65,40,70,40,0,20,0,35,0,30,0,0,0,0,0
2017-05-17 11:00:00,0,20,0,0,0,5,0,0,0,10,20,80,0,0,0,0,0,0,0,0,20,40,40,0,10,0,15,40,0,5,0,5,55,45,70,45,0,30,10,35,0,30,0,0,0,0,0
2017-05-17 11:10:00,0,20,0,0,0,15,0,0,0,10,30,70,0,0,0,0,0,0,0,0,20,45,40,0,10,0,15,50,0,15,0,5,55,40,85,45,0,30,20,40,0,30,0,0,0,0,0
2017-05-17 11:20:00,0,20,0,0,0,20,0,0,0,15,30,70,0,0,0,0,0,0,0,0,20,30,45,0,15,0,20,55,0,15,0,5,45,35,70,40,0,35,20,45,0,50,10,0,5,0,0
2017-05-17 11:40:00,0,20,0,0,0,20,0,0,0,15,40,70,0,0,0,0,0,0,0,0,20,40,50,0,20,0,25,55,0,10,0,10,60,45,75,45,0,30,25,45,0,40,10,0,5,0,0
2017-05-17 11:50:00,0,20,0,0,0,20,0,0,0,20,40,70,0,0,0,0,0,0,0,0,20,40,50,0,25,0,25,60,0,25,0,10,55,35,75,75,0,35,25,25,0,30,10,0,5,0,0
2017-05-17 12:00:00,0,10,0,0,0,15,0,0,0,25,50,70,0,0,0,0,0,0,0,0,30,45,40,0,30,0,30,70,0,15,0,10,65,35,55,50,0,35,25,15,0,30,10,0,5,0,0
2017-05-17 12:20:00,0,10,0,0,0,15,0,0,0,25,10,70,0,0,0,0,0,0,0,0,30,45,40,0,25,0,20,65,0,15,0,10,65,35,60,35,0,45,25,45,0,30,10,0,5,0,0
2017-05-17 12:30:00,0,20,0,0,0,15,0,0,0,20,25,70,0,0,0,0,0,0,0,0,30,35,30,0,25,0,20,45,0,10,0,10,55,50,60,50,0,50,25,40,0,30,10,0,5,0,0
2017-05-17 12:50:00,0,30,0,0,0,20,0,0,0,10,25,70,0,0,0,0,0,0,0,0,30,40,50,0,15,0,20,45,0,15,0,10,55,40,70,55,0,50,20,35,0,20,10,0,5,0,0
2017-05-17 13:00:00,0,30,0,0,0,20,0,0,0,10,40,80,0,0,0,0,0,0,0,0,30,40,70,0,15,0,25,55,0,15,0,10,70,40,60,85,0,40,15,30,0,20,10,0,5,0,0
2017-05-17 13:10:00,0,20,0,0,0,15,0,0,0,15,10,90,0,0,0,0,0,0,0,0,30,45,75,0,20,0,30,55,0,20,0,10,65,35,55,80,0,45,15,35,0,30,10,0,5,0,0
2017-05-17 13:30:00,0,10,0,0,0,15,0,0,0,20,60,90,0,0,0,0,0,0,0,0,20,45,70,0,25,0,30,45,0,10,0,10,50,35,65,80,0,35,20,35,0,30,10,0,5,0,0
2017-05-17 13:40:00,0,10,0,0,0,10,0,0,0,25,40,90,0,0,0,0,0,0,0,0,20,35,55,0,20,0,25,40,0,15,0,10,45,45,0,70,0,40,20,40,0,40,10,0,5,0,0
2017-05-17 13:50:00,0,10,0,0,0,15,0,0,0,25,30,80,0,0,0,0,0,0,0,0,20,45,45,0,25,0,25,30,0,15,0,10,60,55,0,60,0,40,20,40,0,30,10,0,5,0,0
2017-05-17 14:10:00,0,10,0,0,0,15,0,0,0,25,20,90,0,0,0,0,0,0,0,0,20,45,45,0,20,0,25,40,0,15,0,10,60,45,40,65,0,45,20,40,0,20,10,0,5,0,0
2017-05-17 14:20:00,0,10,0,0,0,20,0,0,0,20,20,70,0,0,0,0,0,0,0,0,20,35,45,0,20,0,30,40,0,15,0,10,60,40,40,60,0,45,15,35,0,20,10,0,5,0,0
